file_id,dataset_id,mip_era,activity_drs,institution_id,source_id,experiment_id,member_id,table_id,frequency,grid_label,version,nominal_resolution,variable_id,variable_long_name,variable_units,datetime_start,datetime_end,file_size,data_node,file_url,dataset_pid,tracking_id
CMIP6.ScenarioMIP.NCAR.CESM2-WACCM.ssp245.r1i1p1f1.Omon.chl.gn.v20190815.chl_Omon_CESM2-WACCM_ssp245_r1i1p1f1_gn_201501-206412.nc|esgf-data.ucar.edu,CMIP6.ScenarioMIP.NCAR.CESM2-WACCM.ssp245.r1i1p1f1.Omon.chl.gn.v20190815|esgf-data.ucar.edu,CMIP6,ScenarioMIP,NCAR,CESM2-WACCM,ssp245,r1i1p1f1,Omon,mon,gn,20190815,100 km,chl,Mass Concentration of Total Phytoplankton expressed as Chlorophyll in Sea Water,kg m-3,2015-01-01T00:00:00Z,2064-12-01T00:00:00Z,2451029777,esgf-data.ucar.edu,http://esgf-data.ucar.edu/thredds/fileServer/esg_dataroot/CMIP6/ScenarioMIP/NCAR/CESM2-WACCM/ssp245/r1i1p1f1/Omon/chl/gn/v20190815/chl_Omon_CESM2-WACCM_ssp245_r1i1p1f1_gn_201501-206412.nc,hdl:21.14100/91e982b4-55fe-3f54-8df1-706d1415803f,hdl:21.14100/e63f824f-fb92-4843-ac39-523248a0b55b
CMIP6.ScenarioMIP.NCAR.CESM2-WACCM.ssp370.r2i1p1f1.Omon.chl.gn.v20190815.chl_Omon_CESM2-WACCM_ssp370_r2i1p1f1_gn_201501-205512.nc|esgf-data.ucar.edu,CMIP6.ScenarioMIP.NCAR.CESM2-WACCM.ssp370.r2i1p1f1.Omon.chl.gn.v20190815|esgf-data.ucar.edu,CMIP6,ScenarioMIP,NCAR,CESM2-WACCM,ssp370,r2i1p1f1,Omon,mon,gn,20190815,100 km,chl,Mass Concentration of Total Phytoplankton Expressed as Chlorophyll in Sea Water,kg m-3,2015-01-01T00:00:00Z,2055-12-01T00:00:00Z,2011932573,esgf-data.ucar.edu,http://esgf-data.ucar.edu/thredds/fileServer/esg_dataroot/CMIP6/ScenarioMIP/NCAR/CESM2-WACCM/ssp370/r2i1p1f1/Omon/chl/gn/v20190815/chl_Omon_CESM2-WACCM_ssp370_r2i1p1f1_gn_201501-205512.nc,hdl:21.14100/94effba6-f170-32d3-b416-1355f1b22354,hdl:21.14100/867f2579-1c98-4898-a400-daddf6c9260d
CMIP6.ScenarioMIP.NCAR.CESM2-WACCM.ssp126.r1i1p1f1.Omon.chl.gn.v20190815.chl_Omon_CESM2-WACCM_ssp126_r1i1p1f1_gn_201501-210012.nc|esgf-data.ucar.edu,CMIP6.ScenarioMIP.NCAR.CESM2-WACCM.ssp126.r1i1p1f1.Omon.chl.gn.v20190815|esgf-data.ucar.edu,CMIP6,ScenarioMIP,NCAR,CESM2-WACCM,ssp126,r1i1p1f1,Omon,mon,gn,20190815,100 km,chl,Mass Concentration of Total Phytoplankton expressed as Chlorophyll in Sea Water,kg m-3,2015-01-01T00:00:00Z,2100-12-01T00:00:00Z,4211041227,esgf-data.ucar.edu,http://esgf-data.ucar.edu/thredds/fileServer/esg_dataroot/CMIP6/ScenarioMIP/NCAR/CESM2-WACCM/ssp126/r1i1p1f1/Omon/chl/gn/v20190815/chl_Omon_CESM2-WACCM_ssp126_r1i1p1f1_gn_201501-210012.nc,hdl:21.14100/fab89d58-0d51-3ed6-9e59-cc94c5f73ff8,hdl:21.14100/00910096-85cd-45c3-846d-dd654cde46f9
CMIP6.ScenarioMIP.NCAR.CESM2-WACCM.ssp370.r1i1p1f1.Omon.chl.gn.v20190815.chl_Omon_CESM2-WACCM_ssp370_r1i1p1f1_gn_201501-206412.nc|esgf-data.ucar.edu,CMIP6.ScenarioMIP.NCAR.CESM2-WACCM.ssp370.r1i1p1f1.Omon.chl.gn.v20190815|esgf-data.ucar.edu,CMIP6,ScenarioMIP,NCAR,CESM2-WACCM,ssp370,r1i1p1f1,Omon,mon,gn,20190815,100 km,chl,Mass Concentration of Total Phytoplankton expressed as Chlorophyll in Sea Water,kg m-3,2015-01-01T00:00:00Z,2064-12-01T00:00:00Z,2451676460,esgf-data.ucar.edu,http://esgf-data.ucar.edu/thredds/fileServer/esg_dataroot/CMIP6/ScenarioMIP/NCAR/CESM2-WACCM/ssp370/r1i1p1f1/Omon/chl/gn/v20190815/chl_Omon_CESM2-WACCM_ssp370_r1i1p1f1_gn_201501-206412.nc,hdl:21.14100/8d19d57f-60fb-31ca-8455-2d8cf0ac01b2,hdl:21.14100/3b02dc6d-cf40-48bc-8997-8595eb172950
CMIP6.ScenarioMIP.MIROC.MIROC-ES2L.ssp245.r1i1p1f2.Omon.chl.gn.v20190823.chl_Omon_MIROC-ES2L_ssp245_r1i1p1f2_gn_201501-210012.nc|esgf-data2.diasjp.net,CMIP6.ScenarioMIP.MIROC.MIROC-ES2L.ssp245.r1i1p1f2.Omon.chl.gn.v20190823|esgf-data2.diasjp.net,CMIP6,ScenarioMIP,MIROC,MIROC-ES2L,ssp245,r1i1p1f2,Omon,mon,gn,20190823,100 km,chl,Mass Concentration of Total Phytoplankton expressed as Chlorophyll in sea water,kg m-3,2015-01-01T00:00:00Z,2100-12-01T00:00:00Z,8257901882,esgf-data2.diasjp.net,http://esgf-data2.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/ScenarioMIP/MIROC/MIROC-ES2L/ssp245/r1i1p1f2/Omon/chl/gn/v20190823/chl_Omon_MIROC-ES2L_ssp245_r1i1p1f2_gn_201501-210012.nc,hdl:21.14100/953e259d-4532-3334-b526-815f6ad57662,hdl:21.14100/3936ecd6-bee4-44bd-9698-06c0b67f3ac0
CMIP6.ScenarioMIP.MIROC.MIROC-ES2L.ssp126.r1i1p1f2.Omon.chl.gn.v20190823.chl_Omon_MIROC-ES2L_ssp126_r1i1p1f2_gn_201501-210012.nc|esgf-data2.diasjp.net,CMIP6.ScenarioMIP.MIROC.MIROC-ES2L.ssp126.r1i1p1f2.Omon.chl.gn.v20190823|esgf-data2.diasjp.net,CMIP6,ScenarioMIP,MIROC,MIROC-ES2L,ssp126,r1i1p1f2,Omon,mon,gn,20190823,100 km,chl,Mass Concentration of Total Phytoplankton expressed as Chlorophyll in sea water,kg m-3,2015-01-01T00:00:00Z,2100-12-01T00:00:00Z,8253063454,esgf-data2.diasjp.net,http://esgf-data2.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/ScenarioMIP/MIROC/MIROC-ES2L/ssp126/r1i1p1f2/Omon/chl/gn/v20190823/chl_Omon_MIROC-ES2L_ssp126_r1i1p1f2_gn_201501-210012.nc,hdl:21.14100/d1fdd91b-36ea-3f4a-845b-9e547f76bcc6,hdl:21.14100/e91fb683-fe76-4603-b9bf-fc6af6e10646
CMIP6.ScenarioMIP.MIROC.MIROC-ES2L.ssp370.r1i1p1f2.Omon.chl.gn.v20190823.chl_Omon_MIROC-ES2L_ssp370_r1i1p1f2_gn_201501-210012.nc|esgf-data2.diasjp.net,CMIP6.ScenarioMIP.MIROC.MIROC-ES2L.ssp370.r1i1p1f2.Omon.chl.gn.v20190823|esgf-data2.diasjp.net,CMIP6,ScenarioMIP,MIROC,MIROC-ES2L,ssp370,r1i1p1f2,Omon,mon,gn,20190823,100 km,chl,Mass Concentration of Total Phytoplankton expressed as Chlorophyll in sea water,kg m-3,2015-01-01T00:00:00Z,2100-12-01T00:00:00Z,8265114556,esgf-data2.diasjp.net,http://esgf-data2.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/ScenarioMIP/MIROC/MIROC-ES2L/ssp370/r1i1p1f2/Omon/chl/gn/v20190823/chl_Omon_MIROC-ES2L_ssp370_r1i1p1f2_gn_201501-210012.nc,hdl:21.14100/b1db4805-20f3-389a-9056-a0b24a0be022,hdl:21.14100/99fd52c8-30e9-4294-83b7-7d6e7b569955
CMIP6.ScenarioMIP.MIROC.MIROC-ES2L.ssp585.r1i1p1f2.Omon.chl.gn.v20190823.chl_Omon_MIROC-ES2L_ssp585_r1i1p1f2_gn_201501-210012.nc|esgf-data2.diasjp.net,CMIP6.ScenarioMIP.MIROC.MIROC-ES2L.ssp585.r1i1p1f2.Omon.chl.gn.v20190823|esgf-data2.diasjp.net,CMIP6,ScenarioMIP,MIROC,MIROC-ES2L,ssp585,r1i1p1f2,Omon,mon,gn,20190823,100 km,chl,Mass Concentration of Total Phytoplankton expressed as Chlorophyll in sea water,kg m-3,2015-01-01T00:00:00Z,2100-12-01T00:00:00Z,8272245834,esgf-data2.diasjp.net,http://esgf-data2.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/ScenarioMIP/MIROC/MIROC-ES2L/ssp585/r1i1p1f2/Omon/chl/gn/v20190823/chl_Omon_MIROC-ES2L_ssp585_r1i1p1f2_gn_201501-210012.nc,hdl:21.14100/35788697-4abc-3c9e-bb10-e680f369de2b,hdl:21.14100/7b9ba98f-1236-424a-ac59-fc284577947e
CMIP6.ScenarioMIP.CCCma.CanESM5.ssp126.r6i1p2f1.Omon.chl.gn.v20190429.chl_Omon_CanESM5_ssp126_r6i1p2f1_gn_204101-205012.nc|crd-esgf-drc.ec.gc.ca,CMIP6.ScenarioMIP.CCCma.CanESM5.ssp126.r6i1p2f1.Omon.chl.gn.v20190429|crd-esgf-drc.ec.gc.ca,CMIP6,ScenarioMIP,CCCma,CanESM5,ssp126,r6i1p2f1,Omon,mon,gn,20190429,100 km,chl,Mass Concentration of Total Phytoplankton expressed as Chlorophyll in Sea Water,kg m-3,2041-01-01T00:00:00Z,2050-12-01T00:00:00Z,993305180,crd-esgf-drc.ec.gc.ca,http://crd-esgf-drc.ec.gc.ca/thredds/fileServer/esgD_dataroot/AR6/CMIP6/ScenarioMIP/CCCma/CanESM5/ssp126/r6i1p2f1/Omon/chl/gn/v20190429/chl_Omon_CanESM5_ssp126_r6i1p2f1_gn_204101-205012.nc,hdl:21.14100/827e3d28-c6be-39a4-8464-80af37582001,hdl:21.14100/9b47ab1c-ed70-4e9d-986f-57533d024631
CMIP6.ScenarioMIP.CCCma.CanESM5.ssp126.r6i1p2f1.Omon.chl.gn.v20190429.chl_Omon_CanESM5_ssp126_r6i1p2f1_gn_205101-206012.nc|crd-esgf-drc.ec.gc.ca,CMIP6.ScenarioMIP.CCCma.CanESM5.ssp126.r6i1p2f1.Omon.chl.gn.v20190429|crd-esgf-drc.ec.gc.ca,CMIP6,ScenarioMIP,CCCma,CanESM5,ssp126,r6i1p2f1,Omon,mon,gn,20190429,100 km,chl,Mass Concentration of Total Phytoplankton expressed as Chlorophyll in Sea Water,kg m-3,2051-01-01T00:00:00Z,2060-12-01T00:00:00Z,992211687,crd-esgf-drc.ec.gc.ca,http://crd-esgf-drc.ec.gc.ca/thredds/fileServer/esgD_dataroot/AR6/CMIP6/ScenarioMIP/CCCma/CanESM5/ssp126/r6i1p2f1/Omon/chl/gn/v20190429/chl_Omon_CanESM5_ssp126_r6i1p2f1_gn_205101-206012.nc,hdl:21.14100/827e3d28-c6be-39a4-8464-80af37582001,hdl:21.14100/d3b25314-d184-456a-b197-bd87bef2704c
